;LISTA DE PRECIOS (JUNIO - 26);;;
YT83144;YATO;"Display de 120 piezas. Fusibles STANDARD
Intensidad de corriente [A]:
Fusibles x120 Kits de fusibles para proteger las instalaciones eléctricas de los automóviles de los daños causados por una corriente excesiva. Muy utilizados en la industria del automóvil. Embalados en prácticos estuches.
20 unidades de cada uno: 5 A, 10 A, 15 A, 20 A, 25 A, 30 A"; $11.990 ;
YT83146;YATO;"Display de 120 piezas. Fusibles MINI
Tipo fusible: Fusible conector plano Mini
Intensidad de corriente [A]:
Fusibles x120 (5A x20, 10A x20, 15A x20, 20A x20, 25A x20, 30A x20)"; $10.990 ;
YT83147;YATO;"Display de 88 piezas. Fusibles MAXI, MINI Y STANDARD
Tipo de fusible: MAXI, MINI Y STANDARD
Intensidad de corriente [A]:
El kit incluye fusibles:

Mini: 3A, 5A , 7,5A, 10A, 15A, 20A, 25A, 30A. 5 unidades de cada uno                   
Estándar: 3A, 5A, 7,5A, 10A, 15A, 20A, 25A, 30A. 5 unidades de cada uno                  
Max: 20A, 30A, 40A, 50A, 60A, 70A, 80A, 100A. 1 unidad de cada uno"; $10.990 ;
TMR42T;UYUSA;Display surtido de 42 unidades de termorretractil negro; $14.900 ;
YT06866;YATO;Display surtido de 127 unidades de termorretractil negro; $6.990 ;
DSTR560;IMP;"Display surtido de 560 piezas de termorretractil en colores.

Ofrece un amplio rango de temperatura de funcionamiento, desde 125 °C hasta +55 °C, con una resistencia de voltaje de 600V. Es resistente al agua y no presenta fugas.

Es versátil y puede ser utilizado en la conexión de cables, tratamiento del extremo de cables, protección de las juntas de soldadura, protección del aislamiento de la resistencia y el condensador, protección contra la corrosión de la tubería de metal, protección de la antena, entre otros.

El conjunto incluye 560 tubos termo retráctiles de 6 colores y 12 tamaños, adecuados para todo tipo de cables. Viene en una caja de plástico para facilitar su almacenamiento o transporte.

Contenido:

90 x 10mmx40mm
70 x 15mmx40mm
80 x 20mmx40mm
70 x 25mmx40mm
50 x 30mmx40mm
45 x 35mmx40mm
45 x 40mmx40mm
20 x 50mmx40mm
20 x 60mmx40mm
25 x 80mmx40mm
25 x 10mmx40mm
20 x 14mmx40mm"; $9.990 ;
YT068913;YATO;"DISPLAY DE 600 CONECTORES ELÉCTRICOS
Juego de 600 conectores de latón y PVC para cables eléctricos.
Dimensiones:
PBDD 1-250, PBDD 5-250, PBDD 2-250, FFDD 5-250 - 10 piezas de cada uno.
RV 5.5-5, RV5.5-6 - 10 piezas.
E1008 rojo, E1508 rojo, E2508 azul - 50 unidades.
TE1008 rojo, TE1508 rojo, TE2510 rojo - 20 piezas.
BV5.5 - 10 piezas.
MDD 1-250, MDD 2-250 - 20 piezas.
MDD 5-250 - 10 piezas.
FFDD 1-250, FFDD 2-250 - 150 piezas.
RV5.5 -4, FDD 5-250 - 10 piezas de cada uno.
RV 2-5 - 15 piezas
RV1.25-3 - 30 piezas
BV1.25, BV2 - 15 piezas.
RV1.25-4, RV2-3 - 30 piezas.
FDD1-250 - 20 piezas
RV1.25-5 - 15 piezas
RV2-4 - 30 piezas
FDD2-250 - 20 piezas"; $26.490 ;
DSTYTR678;IMP;"Display de 678 piezas.
350 x Terminales de cable de diversos tipos
328 x tubos termorretráctiles de colores"; $19.990 ;
MLKG450;THORTOOLS;"Display surtido de golillas planas de aluminio 450 unidades. M6 - M24
"; $21.990 ;
YT06871;YATO;"Display surtido de golillas planas de cobre 150 unidades.
10 St: 5 x 10 x 1
10 St: 8 x 11 x 1
10 St: 11 x 17 x 1,5
10 St: 12,5 x 20 x 1,5
10 St: 15 x 20 x 2
10 St: 16,5 x 24 x 2
10 St: 6 x 10 x 1
10 St: 10 x 16 x 1
10 St: 14 x 18 x 1
10 St: 7 x 10 x 1
10 St: 10,5 x 17 x 1,5
10 St: 12 x 20 x 1,5
10 St: 14 x 20 x 1,5
10 St: 16 x 22 x 2
10 St: 17,5 x 24 x 2"; $24.990 ;
YT06872;YATO;"Display surtido de golillas planas de cobre 300 unidades.
El juego incluye: 10 unidades de 0.5 x 9 x 1.0 mm, 10 unidades de 8 x 1.5 mm, 12 x 16 x 1.0 mm, 14 x 20 x 1.5 mm, 10 unidades, 22 x 29 x 1.5 mm, 10 unidades, 6 x 1.0 mm, 9 x 14 x 1.0 x 1.0 mm, 9 x 1.0 mm, 9 x 1.0 mm. -10 unidades, 1 2 x 16 x 1,5 mm-10 unidades, 14 x 20 x 2,0-10 unidades. 20 x 24,5 x 1,5 mm-10 unidades, 24 x 29 x 1,5 mm, 10 unidades, 6 x 12 x 1,0 mm, 10 unidades, 12 x 18 x 1,5 mm, 10 unidades, 16 x 20 x 1,5 mm, 10 unidades, 20 x 24,5 mm, 10 mm, 10 mm, 10 mm, 10 mm, 10 mm, 10 mm, 10 mm, 10 piezas, 10 unidades, 20 unidades 4 x 32 x 2mm-10pcs, 8x12x1mm-10pcs, 10x14x1.5mm-10pcs, 13x18x1mm-10pcs, 16x22x1.5mm-10pcs, 19x26x2mm-10pcs, 26x34x2mm-10pcs, 10pcs 8 x 14 x 1 mm-10 unidades, 10 x 16 x 1 mm, 10 unidades, 14 x 18 x 1,5 mm, 10 unidades, 18 x 22 x 1,5 mm, 10 unidades, 28 x 36 x 2 mm, 10 unidades. "; $54.990 ;
YT06873;YATO;"Display surtido de chavetas  555 unidades. 

Las chavetas están fabricadas en acero de alta calidad, lo que garantiza su resistencia y durabilidad. Tienen forma recta y extremos cónicos, lo que los hace fáciles de instalar y quitar.

Material: acero al carbono.
El juego incluye los siguientes pasadores de chaveta:
Ø 1,6x25 mm x 150 uds.
Ø 2,4x25 mm x 150 uds.
Ø 2,4x38 mm x 100 uds.
Ø 3,2x32 mm x 75 uds.
Ø 3,2x50 mm x50 uds.
Ø 4,0x64 mm x30 uds."; $10.490 ;
YT06875;YATO;Display surtido de resortes 200 unidades; $8.490 ;
YT06880;YATO;Display surtido de seguros seeger externos. 300 unidades; $9.990 ;
YT06881;YATO;Display surtido de seguros seeger internos. 300 unidades; $9.990 ;
YT06883;YATO;"Display surtido de chavetas tipo ""R"" 150un."; $15.500 ;
YT06888;YATO;"Display surtido de graseras métricas 110un. M6X1; M6X1 45°; M8X1; M8 X1 90°; M10X1 90°; M10X1; M6X1 90°; M8X1 45°; M10X1 90°"; $14.990 ;
YT36420;YATO;Display surtido de remaches 400un. (2,4mm x100, 3,2mm x100, 4mm x100, 4,8mm x100); $10.990 ;
4822316;SONIC;   Display surtido de pinzas de polaridad 28un.; $8.990 ;
YT06870;YATO;   Display surtido de pinzas de polaridad 28un.; $8.990 ;
DND9503;SAM PRO TOOLS;Display surtido de O-ring verdes en pulgadas y milímetros 270 un en 18 medidas distintas.; $17.990 ;
YT06877;YATO;Display surtido de O-ring en mm. 225un en 18 medidas distintas.; $8.490 ;
YT06876;YATO;Caja surtido de O-ring Milimétricos 419 piezas en 34 medidas distintas; $18.990 ;
TMK19611;TOOLMAK;Caja surtido de O-ring en Pulgadas 407 piezas en 32 medidas distintas; $16.990 ;
KTE050;UYUSA;Kit de 50 empalmadores eléctricos (rojos y azules); $8.900 ;
W243512;ECUB TOOLS;KIT DE 240 BROCHES AUTOMOTRICES + 5 HERRAMIENTAS DESMONTADORAS; $19.990 ;
K725;THORTOOLS;"KIT CON 725 PIEZAS (BROCHES Y DESMONTADORES).
Incluye 680 broches en 22 tipos diferentes + 45 accesorios y herramientas. 725 piezas en total.
Tipos de broches: Puerta, parachoque, tapabarro, moldura, guardafangos, interior y exterior.
Material: Nylon reforzado de alta calidad
Incluye herramientas de extracción plásticas y metálicas.
Color: Negro y multicolor (según tipo de clip).
Durabilidad: Resistente a impactos, vibraciones y altas temperaturas.
Diseño: Broches universales, compatibles con la mayoría de vehículos."; $25.900 ;
YT06651;YATO;Display de surtido de broches plásticos para RENAULT 300 piezas en 12 tipos distintos; $24.990 ;
YT06658;YATO;Display de surtido de broches plásticos para MAZDA 475 piezas en 18 tipos distintos; $29.990 ;
YT06662;YATO;Display de surtido de broches plásticos para MERCEDES BENZ 270 piezas en 18 tipos distintos; $33.490 ;
4822346;SONIC;Display de surtido de broches plásticos para VOLKSWAGEN 255 piezas en 12 tipos distintos; $23.990 ;
YT1763;YATO;Juego de reparación de hilos (helicoil) M5 - M12. 131 piezas. Contenido: M5 x 0,8 x 6,7 ??, M6 x 1,0 x 10,8 ??, M8 x 1,25 x 10,8 ??, M10 x 1,5 x 13,5 ??, M12 x 1,75 x 16,3 ??; $79.990 ;
VT01324;VIKTEC;"Repasador - reparador de hilos
Metric file: 0.75, 1.00, 1.25, 1.50, 1.75, 2.00, 2.50, 3.00.
Sae File: 11, 12, 13, 14, 16, 18, 20, 24.
Sae File: 9, 10, 12, 16, 20, 27, 28, 32."; $29.990 ;
25450;VOREL;Juego de fresas multipropósito. 5 piezas para madera. Tamaño de la espiga 6 mm.; $4.990 ;
447123;TACTIX;FRESAS PARA METAL. JUEGO 3 PIEZAS; $19.900 ;
YT61711;YATO;FRESAS PARA METAL. JUEGO 6 PIEZAS. Fresas para procesamiento de acero y aluminio. Diseñado para procesar bordes de perfiles, dar forma a la geometría de orificios, realizar fases, otorgar y procesar soldadura. • Fabricado con acero rápido HSS 4241 de alta calidad garantiza una excelente calidad y velocidad de corte del material • MÁX. Velocidad de velocidad: 300.000 rpm • Diámetro del mango de fijación: 6 mm • longitud total: 55 mm • longitud de la parte de trabajo: 25 mm • para usar con amoladoras rectas (eléctricas y neumáticas); $18.490 ;
YT61712;YATO;JUEGO DE FRESAS 6 PIEZAS PARA METAL Y MADERA; $15.990 ;
AKB0501;INGCO;"Juego de piedras abrasivas. 5 piezas
1 pza Cilindríca 16x25mm
1 pza Tipo Bala 20x21mm
1 pza Cono 20x32mm
1 pza tipo ""T"" 24x10mm
1 pza Redonda 20x20mm"; $4.900 ;
YT4750;YATO;GRATA COPA 75MM CON VASTAGO; $3.690 ;
YT4751;YATO;GRATA COPA ACERO INOX. 75MM CON VASTAGO; $4.490 ;
YT4755;YATO;Juego de 3 gratas. Eje de 6 mm. ; $5.490 ;
YT4757;YATO;GRATA CIRCULAR 100MM CON VASTAGO; $3.690 ;
YT4758;YATO;GRATA CIRCULAR 100MM ACERO INOX. CON VASTAGO; $4.990 ;
YT4761;YATO;GRATA PARA GALLETERO 100MM HILO M14; $4.990 ;
YT4766;YATO;GRATA COPA 100MM PARA GALLETERO M14; $8.790 ;
YT4769;YATO;GRATA COPA TRENZADA 100MM PARA GALLETERO M14; $23.690 ;
CATR6E;TRUPER;"ESCOBILLA TRUPER CIRCULAR ENTREF. 6"" P/ESMERIL EJE 5/8"""; $21.500 ;
8031040;HELA;"GRATA CIRCULAR ACERO ONDULADO 8"" 3 CORRIDAS (83/35)"; $44.500 ;
8031045;HELA;"GRATA CIRCULAR ACERO ONDULADO 10"" 3 CORRIDAS (103/35)"; $59.900 ;
YT4030;YATO;BROCA ACERO CO-HSS 3MM; $1.990 ;
YT4040;YATO;BROCA ACERO CO-HSS 4MM; $2.990 ;
YT4060;YATO;BROCA ACERO CO-HSS 6MM; $3.490 ;
YT4080;YATO;BROCA ACERO CO-HSS 8MM; $9.490 ;
YT4100;YATO;BROCA ACERO CO-HSS 10MM; $9.990 ;
YT44849;YATO;"JUEGO DE MACHOS PUNTA BROCA (7 PIEZAS)
Juego de brocas M3-M10 Gwire-Gwire. Diseñado para cortar roscas métricas precisas. Ideal para roscado a máquina y manual. • Fabricado en acero HSS M2 de alta velocidad y alta calidad. • La superficie lijada garantiza una excelente precisión y una mayor velocidad de perforación. • Duradero y resistente a daños y roturas. • Perforación centrífuga automática. • Excelente eliminación de virutas. • Mango hexagonal de 1/4"". El juego incluye 6 brocas con puntas M3-M10 (3, 4, 5, 6, 8 y 10) y extensión de 60 mm."; $42.990 ;
22350;STHOR;Set de 5 brocas para madera. 4, 5 , 6 , 8 y 10 mm.; $2.100 ;
YT3258;YATO;"SET DE 6 BROCAS PLANAS PARA MADERA 10, 12, 16, 18, 20, 25 MM. Brocas para madera pluma con puntas de alta resistencia fabricadas en acero especialmente tratado para taladrar en madera, tableros, plástico blando y otros materiales. Con vaso HEX de 6,3 mm de 1/4"" adecuado para todos los taladros y destornilladores. "; $9.990 ;
YT3259;YATO;"JUEGO DE 8 BROCAS PLANAS PARA MADERA (8 piezas, 12-16-18-20-22-25-28-32 mm) 

El juego de 8 piezas incluye brocas de 12 mm a 32 mm.
Optimizado para perforaciones rápidas y limpias en superficies de madera.
La construcción duradera garantiza un uso confiable y duradero.
Ideal tanto para tareas de carpintería profesionales como domésticas.
Compatible con la mayoría de taladros eléctricos."; $19.990 ;
YT44740;YATO;Broca escalonada.; $24.990 ;
YT44739;YATO;Broca escalonada HSS 6-10-13-16-19-22-25-29-32-35 mm; $19.990 ;
YT44742;YATO;Broca escalonada HSS 10-15-20-25-30-35-40-45 mm; $37.490 ;
YT44745;YATO;Broca escalonada HSS 10-11-12-13-14-15-16-17-18-19-20 mm; $9.990 ;
YT44746;YATO;Broca escalonada HSS 10-20-21-22-23-24-25-26-27-28-29-30 mm; $19.990 ;
YT44731;YATO;"Juego de 3 brocas escalonadas (3 -20 mm)

El juego incluye 3 brocas con diámetros de 3-20 mm.
• Broca 3-12 mm, grados: 3, 4, 5, 6, 7, 8, 9, 10, 11, 12 mm
• Broca de 4-12 mm, grados: 4, 6, 8, 10, 12 mm
• Broca 4-20 mm, pasos: 4, 6, 8, 10, 12, 14, 16, 18, 20 mm

Juego de brocas escalonadas YATO YT-44731. Diseñado para taladrar en acero inoxidable estructural y laminado en frío de alta calidad, metales no ferrosos, láminas de acero, plásticos. • fabricado en acero rápido HSS 4241, recubierto con nitruro de titanio que aumenta la vida útil de las brocas • los bordes del orificio perforado permanecen limpios y sin rebabas • autocentrante en superficies redondeadas y resbaladizas • rápida disipación del calor al perforar materiales duros • 2 flautas espirales eliminan eficientemente los desechos"; $14.990 ;
YT44705;YATO;"Juego de 4 brocas universales con mango hexagonal. Hecho de acero para herramientas HSS 4241 duradero. Caja metálica.
Contenido:
Escariador: 12,4 mm
Avellanador: 6-20 mm
Broca escalonada: 4-12 mm
Broca de fresado: 6 x 90 mm"; $19.990 ;
AKDB3055;INGCO;JUEGO DE 5 BROCAS PARA CONCRETO 4.0 A 10.0 MM: 4,5,6,8,10MM; $3.900 ;
AKDB1065;INGCO;JUEGO DE 6 BROCAS CIL AR.  2.0 A 8.0 MM: 2,3,4,5,6,8MM; $3.900 ;
AKDB1125;INGCO;JUEGO DE 12 BROCAS CIL AR.  2.0 A 8.0 MM: 2,2.5,3, 3.5,4,4.5,5,5.5,6,6.5,7,8MM; $7.500 ;
YT4460;YATO;Set de brocas acero, 6 piezas, 2,3,4,5,6,8 mm.; $7.490 ;
YT4461;YATO;Set de brocas acero, 10 piezas, 1,2,3,4,5,6,7,8,9,10 mm.; $17.490 ;
YT41603;YATO;Set de brocas de cobalto helicoidales CO-HSS, 10 piezas, 1,2,3,4,5,6,7,8,9,10 mm.; $34.490 ;
YT4462;YATO;Set de brocas acero, 19 piezas, 1, 1.5, 2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5, 10 mm; $31.990 ;
PD20;FIXMAN;"
JUEGO DE 20 BROCAS TITANIO DORADO 1-10MM. Fabricadas en acero de alta velocidad con recubrimiento de titanio para mayor durabilidad y resistencia. Ideales para perforar metales, madera y plásticos con precisión y eficacia. Incluye estuche para almacenamiento seguro y ordenado.
1.0 mm, 1.5 mm, 2.0 mm, 2.5 mm, 3.0 mm, 3.5 mm, 4.0 mm, 4.5 mm, 5.0 mm, 5.5 mm, 6.0 mm, 6.5 mm, 7.0 mm, 7.5 mm, 8.0 mm, 8.5 mm, 9.0 mm, 9.5 mm, 10.0 mm
Estas medidas proporcionan una variedad de opciones para trabajos de perforacion precisos en metal, madera y plástico."; $54.990 ;
NB030107;CHICAGO TOOLS;"Juego de brocas de acero rápido HSS aleación de cobalto recubiertos con capa de nitrato de Titanio.
Incluye 25 piezas:
• 1 mm• 1.5 mm• 2 mm• 2.5 mm• 3 mm• 3.5 mm• 4 mm• 4,5 mm• 5 mm• 5.5 mm• 6 mm• 6.5 mm• 7 mm• 7.5 mm• 8 mm• 8.5 mm• 9 mm• 9.5 mm• 10 mm• 10.5 mm• 11 mm• 11.5 mm• 12 mm• 12.5 mm• 13 mm"; $79.900 ;
YT41605;YATO;Set de brocas de cobalto helicoidales CO-HSS, 25 piezas, 1,1.5,2,2,5,3, 3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13 mm.; $119.990 ;
106249;KRAFT BOHER;"Set de brocas metal 25 pzs.1 - 1,5 - 2 - 2,5 - 3 - 3,5 - 4 - 4,5 - 5 - 5,5 - 6 - 6,5 - 7 - 7,5 - 8 - 8,5
9-9,5 - 10 - 10,5 - 11 - 11,5 - 12 - 12,5 - 13 mm Caja metálica"; $78.500 ;
RQT-581;THORTOOLS;Afilador de brocas portátil. Rango de sujeción: 2-12,5 mm.; $4.500 ;
YUX001925;THORTOOLS;"SET DE 10 DISCOS DE CORTE DIAMANTE ABRASIVOS PARA AMOLADORA RECTA
Ideal para hacer ranuras, aberturas, está recubierta por ambos lados y alrededor del borde, ya que son muy delgados. Puede utilizarse para el corte de piedras preciosas, vidrio, cerámica, rocas, aluminio y cobre.

Especificaciones:
Diámetro de los disco: 16, 18, 20 (x2), 22 (x2), 25 (x2), 30 y 40 mm
Longitud del eje: 40 mm aprox
Diámetro del eje en la Parte Superior: 4.5mm
Diámetro del eje en la Parte Inferior: 3mm
Compatible con la mayoría de herramientas rotativas y aire, incluyendo la marca Dremel"; $10.990 ;
25410;VOREL;"Juego de 13 accesorios para completar el equipamiento básico de una amoladora recta. Permite un trabajo rápido, fácil y económico.
Los accesorios permiten un procesamiento preciso de elementos pequeños.
Adecuado para amoladoras con una abertura de herramienta de 3,2 mm. Los accesorios se utilizan para esmerilar y pulir.
Accesorios para trabajos precisos de rectificado y modelado en metal, madera, plásticos y otros materiales. Contenido: Piedras de pulir, cepillos de alambre, mandril para instalar bandas de lijado y tiras de lijado (papel de lija)"; $9.350 ;
25412;VOREL;"Juego de 17 accesorios para completar el equipamiento básico de una amoladora recta. Permite un trabajo rápido, fácil y económico.
Los accesorios permiten un procesamiento preciso de elementos pequeños.
Adecuado para amoladoras con una apertura de herramienta de 3,2 mm. Los accesorios se utilizan para esmerilar y pulir.
Accesorios para trabajos precisos de rectificado y modelado en metal, madera, plásticos y otros materiales. Contenido: Piedras de pulir, cepillos de alambre, mandriles para el montaje: muelas abrasivas y herramientas de pulido de fieltro, recipiente con pasta de pulir y coronilla"; $10.450 ;
ACT080;UYUSA;SET PIEDRAS Y ACCESORIOS MULTIPROPOSITO - 80 PCS.; $17.900 ;
AKMG2501;INGCO;"SET DE 250 ACCESORIOS Y FRESAS PARA MINITORNO. 
76 Disco de corte
1 Muela de goma
10 Muela abrasiva con vástago
12 Muelas abrasivas
4 Rueda de pulido de goma
5 Ruedas de fieltro
1 Rueda de tela
1 Rueda de solapa
5 Ruedas de corte de fibra de vidrio
1 punta de rueda de fieltro
39 Bandas de lijado
60 Lijas de papel
6 Cepillos
7 Brocas de diamante
2 Brocas de grabado
4 Brocas de mandril
2 Vástago de lijado
6 Brocas Hss
4 Pinzas
1 Llave
1 Piedra para vestir
2 Compuesto de pulido"; $39.990 ;
26150710AK;DREMEL;"Kit multiuso con 160 accesorios Dremel genuinos para una amplia variedad de trabajos.
Incluye 8 accesorios con sistema de encaje rápido EZ-Lock, que son mucho más prácticos y tienen durabilidad 2x mayor.
Transforme su micro rectificadora en una verdadera máquina de ideas con accesorios para cortar, desbastar, esculpir, grabar, modelar, lijar, limpiar y pulir. El embalaje viene con divisorias removibles y se convierte en una caja organizadora para guardar sus accesorios.
CONTENIDO: 2 discos E456, 1 disco E476, 1 mandril E402, 5 discos Fieltro 414, 5 discos Fieltro 429, 1 pote pasta Pulir 421, 1 Escobilla Acero 428, 1 Punta 932, 1 Punta 952, 1 Punta 84922, 1 tubo Lija 407, 15 tubos Lija 408, 15 tubos Lija 432, 1 tubo Lija 430, 15 tubos Lija 431, 15 tubos Lija 438, 25 Lijas E411, 25 Lijas E412, 25 Lijas E413, 1 vástago 401, 1 vástago 402, 1 Escariador 191, 1 Llave Apriete"; $69.990 ;
F0130290JE000;DREMEL;GRABADOR DREMEL 290. Kit de grabar que lo hace todo, le permite grabar o decorar una gran variedad de materiales, incluyendo metal, plástico, vidrio, cerámica, madera y cuero.; $56.900 ;
F0132000AA000;DREMEL;"DREMEL VERSATIP. Pirograbador Soldador Gas Butano. Con 12 Accesorios 
El Pirograbador Soldadora a Gas Butano Dremel VersaTip viene con distintas puntas, permite realizar pirograbados, soldar, cortes térmicos, remoción de residuos, todo en distintos materiales. Con su diseño práctico en formato de bolígrafo, es posible trabajar con comodidad, precisión y facilidad hasta en lugares más pequeños. Inalámbrico y con funcionamiento a gas butano, permite que trabajes en cualquier lugar.
Peso (kg) 0,135
Encendido Eléctrico
Depósito 17 ml / 9 g
Temperatura 1200°C
Aplicaciones: Pirograbar, Soldar, Cortar, Moldear
Materiales: Madera, Metal, Plástico, Cuero, Caucho
Incluye: Herramienta te?rmica a gas. Caja de Metal. Manual de usuario
Accesorios: 2 Llaves. Una Punta para soldar. 2 Esponja para soldadura estuche. Una Cuchilla de corte. 1 Cabezal de llama ancha y plana. 1 Deflector. Un Cabezal con soplador de aire caliente. 1 Estan?o para soldar"; $57.490 ;
F0132200AA000;DREMEL;"Versaflame 2200 DREMEL. 
Capacidad del deposito de 22 gramos: un uso mas prolongado El deposito de llenado dura hasta 75 min.
a maxima capacidad Mecanismo de seguridad para ninos: para que los ninos no puedan encender la herramienta Boton de bloqueo de llama: para uso continuado manos libres Uso estacionario: acoplando la pata desmontable
Datos Técnicos:
Peso 0,227 kg Longitud 17 cm Encendido eléctrico Duración del encendido 75 min Capacidad del depósito 42ml / 22g Temperatura 1200 °C (aire libre) 680 - 1000 °C (aire caliente) 550 °C (puntas) Otras características: Llama precisa: permite el trabajo complejo con llama abierta Alimentada por gas butano líquido: para utilizarla en cualquier lugar y en cualquier momento Tiempo de calentamiento extremadamente corto y recarga rápida: para que siempre esté lista para usar Calidad duradera: vida útil prolongada Configuración de temperatura variable: seleccione la temperatura ideal para su proyecto"; $84.900 ;
F0133000FD000;DREMEL;Dremel 3000 Herramienta Multipropósito con 10 Accesorios; $92.500 ;
MG1309;INGCO;Mini esmeril. Herramienta Multipropósito con accesorios incluidos (52 piezas). 10.000-32.000 RPM. 130W. Velocidad variable. Eje flexible incluido.; $48.500 ;
MG13328;INGCO;"MINI ESMERIL 130W CON 109 ACCESORIOS

Voltaje: 220-240V~50/60Hz
Potencia de entrada: 130W
Velocidad sin carga: 10000-35000 rpm
Tamaño del collar: 3,2 mm
Control de velocidad variable
Con 1 eje flexible.
Con 109 piezas de accesorios
Con 1 juego de escobillas de carbón adicionales"; $54.900 ;
YT82077;YATO;"MINI ESMERIL ROTATIVO 130W CON 83 PIEZAS
Una práctica herramienta eléctrica que permite el mecanizado preciso de diferentes materiales. Se utiliza para taladrar, rectificar, fresar, grabar, pulir y limpiar. Dispone de seis velocidades, de 10 000 a 35 000 rpm, lo que permite adaptarla a cada tarea. La velocidad se controla electrónicamente. El portaherramientas es autocentrante. La iluminación LED facilita la realización de tareas de precisión. Potencia de 130 vatios. La minilijadora incluye un portaherramientas adicional con brazo flexible, una llave para el portaherramientas, una cubierta protectora, un bloqueo del husillo del brazo, un accesorio para fresadora y 82 accesorios abrasivos.

Protector: 10 unidades; Papel de lija: 40 unidades.
Muela abrasiva con vástago: 8 unidades (ø 3,2 mm)
Mandril de rectificado: 1 unidad (ø 3,2 mm)
Banda abrasiva: 5 unidades.
Broca: 1 unidad (ø 2,3 mm); 1 unidad (ø 3,2 mm)
Broca de diamante: 2 unidades (ø 3,2 mm)
Mandril: 2 unidades (ø 3,2 mm)
Fieltro: 4 piezas; Piedra de afilar: 1 pieza
Pinza: 1 unidad (ø 2,3 mm); 1 unidad (ø 3,2 mm) 
llave: 1 unidad; pin: 1 unidad
Cepillo: 1 unidad (ø 3,2 mm)
Cortador: 1 unidad (ø 3,2 mm); cortador: 1 unidad (ø 3,2 mm)"; $69.990 ;
YT82755;YATO;"LIJADORA ORBITAL EXCENTRICA (DE PALMA) INALÁMBRICA DE 18 V CON EXTRACTOR DE POLVO
Voltaje: 18 V Li-Ion
Velocidad sin carga: 11 000/min
Tamaño de la almohadilla: 84 X 148 mm
Diámetro orbital: 2 mm
INCLUYE 1 BATERIA DE 2AH Y CARGADOR. 11 000 RPM; TAMAÑO DEL DISCO: 84 X 184 MM

CARACTERÍSTICAS:
Almohadilla de plástico con velcro
Carcasa PA6-GF30
Con bolsa para polvo
con 1 pieza de papel de lija"; $109.990 ;
FS3208;INGCO;"LIJADORA ORBITAL INGCO RECTANGULAR 320 WATS C/5 PZAS.LIJA
- Base de aluminio
- Incluye 5 lijas y juego de carbones
POTENCIA: 220-240V~50/60Hz
ENTRADA DE PODER: 320W
VELOCIDAD SIN CARGA: 14000rpm
BASE INFERIOR: 180mm x 90mm"; $69.000 ;
RS4508;INGCO;"LIJADORA ROTO ORBITAL INGCO 450 WATTS BASE 150MM

- Base de velcro
- Velocidad variable
- Con base de PU de 150mm
- Incluye 5 discos
- Juego de carbones

POTENCIA: 220-240V~50/60Hz
ENTRADA DE PODER: 450W
VELOCIDAD SIN CARGA: 4000-13000rpm
DIAMETRO DE DISCO: 150mm"; $99.000 ;
WB51251;INGCO;"ESCOBILLA CIRCULAR GRUESA, PARA ESMERIL DE BANCO, DIÁMETRO 5"", ESPESOR 0,35MM, EJE DE 7/8"" (INCLUYE ANILLO DE REDUCCIÓN DE 22,2MM Y 16MM) "; $5.900 ;
WB51501;INGCO;"ESCOBILLA CIRCULAR GRUESA, PARA ESMERIL DE BANCO, DIÁMETRO 6"", ESPESOR 0,35MM, EJE DE 7/8"" (INCLUYE ANILLO DE REDUCCIÓN DE 22,2MM Y 16MM) "; $9.990 ;
WB51801;INGCO;"ESCOBILLA CIRCULAR GRUESA, PARA ESMERIL DE BANCO, DIÁMETRO 7"", ESPESOR 0,35MM, EJE DE 1"" (INCLUYE ANILLO DE REDUCCIÓN DE 22,2MM Y 16MM) "; $14.900 ;
BG61502;INGCO;"ESMERIL DE BANCO INGCO 220-240V - RUEDA 6"" 2950 RPM. 
- Base de aluminio resistente
- Descanso de trabajo ajustable
- Incluye 1 juego protección para los ojos
- Caja de almacenamiento
- Usa piedras AGW150361 / AGW150801
VOLTAJE: 220-240V~50Hz
ENTRADA DE PODER: 150W
VELOCIDAD SIN CARGA: 2950rpm
DIAMETRO DE DISCO: 150mm"; $65.000 ;
BG83502;INGCO;"ESMERIL DE BANCO INGCO 8"" 350W. - Base de aluminio resistente
- Descanso de trabajo ajustable
- Incluye 1 juego protección para los ojos
- Caja de almacenamiento
- Usa piedras AGW200361 / AGW200801
VOLTAJE: 220-240V~50Hz
ENTRADA DE PODER: 350W
VELOCIDAD SIN CARGA: 2950rpm
DIAMETRO DE DISCO: 200mm"; $115.000 ;
BSA;BOKY; PEDESTAL PARA ESMERIL DE BANCO 760MM; $349.900 ;
YT82250;YATO;"KIT TERMOFUSION PPR ELEC. 220V 850W. CON PANTALLA LCD
- Potencia: 850W
- Voltaje: 230V-50Hz
- T°: 0-300°C
- Dados incluidos (7): 16 - 20 - 25 - 32 - 40 - 50 - 63 mm"; $99.990 ;
